Date,Link,Headlines,Sentiment Score,Sentiment Category
30-12-2024,Reliance Industries Ltd receives Investment Bank Analyst Rating Update,Reliance Industries Ltd receives Investment Bank Analyst Rating Update,0,Neutral
26-12-2024,"Technical analyst sees Reliance shares slipping to ₹1,150: here’s why","Technical analyst sees Reliance shares slipping to ₹1,150",0.296,Positive
23-12-2024,https://in.investing.com/news/reliance-jio-loses-over-16-crore-subscribers-in-four-months-4588149,reliance jio loses over 16 crore subscribers in four months,-0.3182,Negative
17-12-2024,https://in.investing.com/news/ril-set-to-end-2024-in-red-for-the-first-time-in-a-decade-what-investors-need-to-know-4578848,ril set to end 2024 in red for the first time in a decade what investors,0,Neutral
13-12-2024,https://in.investing.com/news/reliance-industries-marching-towards-negative-return-for-1st-time-in-last-10-years-4573994,reliance industries marching towards negative return for 1st time,-0.5719,Negative
06-12-2024,"Share market ends flat, Sensex settles at 81,709 after RBI MPC decisions","Share market ends flat, Sensex settles at 81,709 after RBI MPC decisions",0.296,Positive
21-11-2024,Infra stock in focus after receiving orders worth ₹21 Cr from Reliance Mappedu,Infra stock in focus after receiving orders worth ₹21 Cr from Reliance Mappedu,0.2263,Positive
16-11-2024,SEBI sends Rs 26 crore notice to Reliance Big Entertainment in RHFL fund case,SEBI sends Rs 26 crore notice to Reliance Big Entertainment in RHFL fund case,0.4215,Positive
10-11-2024,https://in.investing.com/news/ril-mcap-decreases-by-rs-74000-crore-sbi-tcs-infosys-biggest-gainers-lead-4518710,"RIL mcap decreases by Rs 74,000 crore; SBI, TCS, Infosys biggest gainers (Lead)",0,Neutral
08-11-2024,Reliance Power’s stock hits 5 pc lower circuit after SECI ban,Reliance Power’s stock hits 5 pc lower circuit after SECI ban,-0.7003,Negative
05-11-2024,"Indian stock market opens flat, all eyes on US election","Indian stock market opens flat, all eyes on US election",0,Neutral
04-11-2024,"Sensex crashes 1300 pts, Nifty at four-month low","Sensex crashes 1300 pts, Nifty at four-month low",0.1531,Positive
24-10-2024,Elon Musk vs. Mukesh Ambani: Who will dominate India’s satellite internet market?,Elon Musk vs. Mukesh Ambani: Who will dominate India’s satellite internet market?,-0.128,Negative
16-10-2024,India shares lower at close of trade; Nifty 50 down 0.34%,India shares lower at close of trade; Nifty 50 down 0.34%,0.4019,Positive
15-10-2024,https://in.investing.com/news/reliance-misses-q2-targets-but-jio-shines-is-there-still-value-for-investors-4472022,"Reliance Misses Q2 Targets, But Jio Shines: Is There Still Value for Investors?",0.3919,Positive
14-10-2024,Reliance Industries quarterly consolidated revenue at Rs 2.58 lakh crore for Q2,Reliance Industries quarterly consolidated revenue at Rs 2.58 lakh crore for Q2,0,Neutral
11-10-2024,"Jio Financial Launches App, Shareholders Unimpressed","Jio Financial Launches App, Shareholders Unimpressed",-0.34,Negative
10-10-2024,https://in.investing.com/news/jhunjhunwalabacked-stock-jumps-3-after-winning-300-cr500-cr-order-from-reliance-industries-4465273,Jhunjhunwala-Backed Stock Jumps 3% After Winning ₹300 Cr-₹500 Cr Order From Reliance Industries,0.5267,Positive
03-10-2024,India shares lower at close of trade; Nifty 50 down 2.12%,India shares lower at close of trade; Nifty 50 down 2.12%,0.4019,Positive
01-10-2024,"Sensex closes flat, IT and auto stocks gain","Sensex closes flat, IT and auto stocks gain",0.5267,Positive
30-09-2024,Reliance stock supported by 54% EBITDA share from consumer segments - UBS,Reliance stock supported by 54% EBITDA share from consumer segments - UBS,0.5423,Positive
20-09-2024,Smallcap stock jumps 10% after receiving orders worth ₹ 633.50 Cr for H1FY25,Smallcap stock jumps 10% after receiving orders worth ₹ 633.50 Cr for H1FY25,0.2263,Positive
13-09-2024,Stock jumps up to 5% after receiving work order worth ₹ 2.61 Cr for firefighting support services ,Stock jumps up to 5% after receiving work order worth ₹ 2.61 Cr for firefighting support services ,0.5574,Positive
09-09-2024,Jio Financial Services Shares Take A Dip Despite Strengthening BlackRock Partnership,Jio Financial Services Shares Take A Dip Despite Strengthening BlackRock Partnership,-0.1098,Negative
06-09-2024,https://in.investing.com/news/rils-11-bonus-issue-will-be-the-largest-bonus-issue-in-indian-equity-markets-4417240,RIL’s 1:1 bonus issue will be the largest bonus issue in Indian equity markets,0.7906,Positive
05-09-2024,https://in.investing.com/news/reliance-shares-muted-after-emerging-as-top-bidder-under-governments-pli-scheme-ahead-of-board-meeting-4415062,"Reliance Shares Muted After Emerging As Top Bidder Under Government's PLI Scheme, Ahead Of Board Meeting",0.4588,Positive
04-09-2024,"Sensex down by 202 points, Nifty drops below 25,200","Sensex down by 202 points, Nifty drops below 25,200",0.4019,Positive
30-08-2024,Reliance Shares Muted Even Though Brokerages Stay Bullish On Expansion Plans,Reliance Shares Muted Even Though Brokerages Stay Bullish On Expansion Plans,0.296,Positive
29-08-2024,Reliance Shares Quiet After Receiving Regulatory Nod For Disney Merger Ahead Of AGM,Reliance Shares Quiet After Receiving Regulatory Nod For Disney Merger Ahead Of AG,0.296,Positive
23-08-2024,"Why SEBI barred Anil Ambani, 24 others from capital markets","Why SEBI barred Anil Ambani, 24 others from capital markets",0,Neutral
23-08-2024,"Anil Ambani's Reliance Home Finances' audit finds Rs 8,884 cr outstanding loans to indirect entities","Anil Ambani's Reliance Home Finances' audit finds Rs 8,884 cr outstanding loans to indirect entities",0.6124,Positive
21-08-2024,https://in.investing.com/news/reliancedisney-merger-indias-competition-watchdog-puts-85-billion-deal-under-scrutiny-4394588,Reliance-Disney merger: India’s competition watchdog puts $8.5 billion deal under scrutiny,0,Neutral
12-08-2024,Smallcap stock jumps 5% after receiving order worth ₹ 415 Cr from Chennai water board,Smallcap stock jumps 5% after receiving order worth ₹ 415 Cr from Chennai water board,0.2263,Positive
01-08-2024,"Historic day for Indian stock market, Nifty closes above 25,000 for first time","Historic day for Indian stock market, Nifty closes above 25,000 for first time",0.4019,Positive
25-07-2024,Midcap stock jumps 5% after reporting 46% YoY increase in net profits,Midcap stock jumps 5% after reporting 46% YoY increase in net profits,0.6369,Positive
22-07-2024,https://in.investing.com/news/stock-market-news/india-shares-lower-at-close-of-trade-nifty-50-down-009-4324558,India shares lower at close of trade; Nifty 50 down 0.09%,0.4019,Positive
22-07-2024,"Reliance Shares Tank 3% After Muted Q1, But Brokerages Remain Bullish","Reliance Shares Tank 3% After Muted Q1, But Brokerages Remain Bullish",0.1531,Positive
19-07-2024,"Reliance Retail Ventures posts revenue of Rs 75,615 crore in Q1 FY25","Reliance Retail Ventures posts revenue of Rs 75,615 crore in Q1 FY25",0,Neutral
16-07-2024,Jio Financial Shares Slip 2% After Q1 Print,Jio Financial Shares Slip 2% After Q1 Print,0.296,Positive
11-07-2024,Indian telecom sector poised for next stage of market repair: S&P Global Ratings,Indian telecom sector poised for next stage of market repair: S&P Global Ratings,0.25,Positive
09-07-2024,India shares higher at close of trade; Nifty 50 up 0.42%,India shares higher at close of trade; Nifty 50 up 0.42%,0.5994,Positive
01-07-2024,https://in.investing.com/news/why-brokerages-stay-bullish-on-bharti-airtel-despite-smaller-tariff-hike-than-jio-4283516,Why Brokerages Stay Bullish On Bharti Airtel Despite Smaller Tariff Hike Than Jio,0,Neutral
28-06-2024,"Reliance MCap Breaches ₹21 Lakh Cr, 1st Indian Company To Do So","Reliance MCap Breaches ₹21 Lakh Cr, 1st Indian Company To Do So",0,Neutral
26-06-2024,https://in.investing.com/news/jio-consolidates-its-leadership-position-by-acquiring-right-to-use-spectrum-in-1800-mhz-band-in-2-circles-4276002,Jio consolidates its leadership position by acquiring right to use spectrum in 1800 MHz band in 2 circles,0,Neutral
18-06-2024,"Sensex, Nifty hit new all-time high on strong global cues","Sensex, Nifty hit new all-time high on strong global cues",0.7184,Positive
05-06-2024,Smallcap stock jumps 3% after company received work order worth ₹ 56 Cr from ONGC ,Smallcap stock jumps 3% after company received work order worth ₹ 56 Cr from ONGC ,0.2263,Positive
04-06-2024,Zee Entertainment Tanks Early Amid Capital Raise Plans,Zee Entertainment Tanks Early Amid Capital Raise Plans,0.4215,Positive
30-05-2024,TIME recognises Reliance Industries as one of world’s most influential companies,TIME recognises Reliance Industries as one of world’s most influential companies,0.4927,Positive
28-05-2024,Stock jumps 9% after company received work order worth ₹ 22.68 Cr from Airports Authority of India ,Stock jumps 9% after company received work order worth ₹ 22.68 Cr from Airports Authority of India ,0.296,Positive
27-05-2024,RIL: Goldman Sachs Highlights Path to Rebound Amid Market Stagnation,RIL: Goldman Sachs Highlights Path to Rebound Amid Market Stagnation,0,Neutral
24-05-2024,https://in.investing.com/news/stock-market-news/telecom-stock-jumps-116-after-ubs-gives-it-a-buy-call-for-an-upside-of-20-4213961,Telecom stock jumps 11.6% after UBS gives it a buy call for an upside of 20%,0,Neutral
21-05-2024,https://in.investing.com/news/stock-market-news/ashish-kacholia-stock-jumps-3-after-company-received-export-order-worth--505-cr-4205418,Ashish Kacholia stock jumps 3% after company received export order worth ₹ 505 Cr,0.2263,Positive
23-04-2024,https://in.investing.com/news/multiple-catalysts-for-rerating-across-verticals-as-ril-exits-fourth-investment-cycle-morgan-stanley-4141406,Multiple catalysts for re-rating across verticals as RIL exits fourth investment cycle: Morgan Stanley,0,Neutral
23-04-2024,HSBC raises Reliance Industries stock target,HSBC raises Reliance Industries stock target,0,Neutral
22-04-2024,Reliance Retail records gross revenues of Rs 3.06 lakh crore for FY24,Reliance Retail records gross revenues of Rs 3.06 lakh crore for FY 24,-0.4767,Negative
15-04-2024,https://in.investing.com/news/stock-market-news/nfra-finds-reliance-capital-joint-auditor-guilty-of-rs-12571-crore-fudge-in-201819-4124714,"NFRA finds Reliance Capital joint auditor guilty of Rs 12,571 crore fudge in 2018-19",-0.4215,Negative
11-04-2024,Will Musk announce affordable Starlink internet service during India visit?,Will Musk announce affordable Starlink internet service during India visit?,0,Neutral
08-04-2024,https://in.investing.com/news/at-245-billion-india-witnesses-resurgence-in-deals-in-q1-report-4112312,"At $24.5 billion, India witnesses resurgence in deals in Q1: Report",0,Neutral
29-03-2024,Power sector experts hail collaboration between RIL & Adani Group for MP power project,Power sector experts hail collaboration between RIL & Adani Group for MP power project,0.0772,Positive
28-03-2024,https://in.investing.com/news/reliance-industries-invests-in-mahan-energen-a-whollyowned-subsidiary-of-adani-power-4094348,"Reliance Industries invests in Mahan Energen, a wholly-owned subsidiary of Adani Power",0,Neutral
27-03-2024,Reliance Shares Jump 3.5% To Lead Nifty 50 Gainers,Reliance Shares Jump 3.5% To Lead Nifty 50 Gainers,0.5994,Positive
22-03-2024,Reliance Shares Continue Gains For 3rd Day As Brokerage Raises Target,Reliance Shares Continue Gains For 3rd Day As Brokerage Raises Target,0.5574,Positive
18-03-2024,Why Reliance Shares Jumped Back In Green After 3 Days,Why Reliance Shares Jumped Back In Green After 3 Days,0.296,Positive
14-03-2024,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,0,Neutral
06-03-2024,https://in.investing.com/news/reliance-shares-jump-back-in-green-after-brokerage-remains-upbeat-4051987,Reliance Industries to acquire Paramount Global’s 13 pc stake in Viacom 18 Media for Rs 4286 cr,0,Neutral
02-03-2024,https://in.investing.com/news/reliance-tata-motors-tata-steel-hit-alltime-highs-in-special-trading-session-4046414,"Reliance, Tata Motors, Tata Steel Hit All-Time Highs In Special Trading Session",0.4019,Positive
29-02-2024,https://in.investing.com/news/stock-market-news/jio-financial-services-joins-the-nifty-next-50-in-nses-latest-index-rejig-4042423,Jio Financial Services Joins The Nifty Next 50 In NSE's Latest Index Rejig,0.4019,Positive
28-02-2024,Reliance and Disney forge $8.5 billion Indian media titan via merger deal,Reliance and Disney forge $8.5 billion Indian media titan via merger deal,0,Neutral
13-02-2024,"Reliance Shares Hit All-Time High, Market Cap Crosses ₹20 Lakh Cr","Reliance Shares Hit All-Time High, Market Cap Crosses ₹20 Lakh Cr",0.296,Positive
07-02-2024,https://in.investing.com/news/stock-market-news/reliancebacked-stock-surges-20-as-profits-soar-54-in-q3-4006076,Reliance-Backed Stock Surges 20% As Profits Soar 54% In Q3,0.4404,Positive
03-02-2024,https://in.investing.com/news/reliance-wins-ifr-asias-issuer-of-the-year-award-for-record-fourth-time-4001493,Reliance wins IFR Asia’s ‘Issuer of the Year’ award for record fourth time,0.802,Positive
31-01-2024,https://in.investing.com/news/reliance-wins-ifr-asias-issuer-of-the-year-award-for-record-fourth-time-4001493,Reliance Jio Calls for Nationwide 2G and 3G Phase-Out to Boost 5G,0.4019,Positive
29-01-2024,"ONGC, Reliance Lead Gainers As Markets Start Budget Week With A Bang","ONGC, Reliance Lead Gainers As Markets Start Budget Week With A Bang",0,Neutral
25-01-2024,"Reliance Jio, OnePlus join hands to drive 5G innovation in India","Reliance Jio, OnePlus join hands to drive 5G innovation in India",0.5859,Positive
20-01-2024,https://in.investing.com/news/ril-trades-cheap-relative-to-nifty-jefferies-3981274,RIL trades cheap relative to Nifty: Jefferies,0.4019,Positive
19-01-2024,https://in.investing.com/news/reliance-retail-delivers-gross-revenue-of-rs-83063cr-for-3q-fy24-3980550,"Reliance Retail delivers gross revenue of Rs 83,063cr for 3Q FY24",-0.4767,Negative
16-01-2024,https://in.investing.com/news/stock-market-news/jio-financial-services-shares-slide-6-amid-q3-results--net-profit-down-56-qoq-3974253,Jio Financial Services Shares Slide 6% Amid Q3 Results - Net Profit Down 56% QoQ,0.6249,Positive
11-01-2024,https://in.investing.com/news/ril-market-cap-crosses-rs-18-lakh-crore-3969282,RIL market cap crosses Rs 18 lakh crore,0,Neutral
